code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,A4231,"Infusion set for external insulin pump, needle type",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4232,"Syringe with needle for external insulin pump, sterile, 3 cc",,A4206-A8004,Medical And Surgical Supplies,A4206-A4232,Injection and Infusion Supplies,,,,,,,,
HCPCS,A4233,"Replacement battery, alkaline (other than J cell), for use with medically necessary home blood glucose monitor owned by patient, each",,A4206-A8004,Medical And Surgical Supplies,A4233-A4239,Replacement Batteries,,,,,,,,
HCPCS,A4234,"Replacement battery, alkaline, J cell, for use with medically necessary home blood glucose monitor owned by patient, each",,A4206-A8004,Medical And Surgical Supplies,A4233-A4239,Replacement Batteries,,,,,,,,
HCPCS,A4235,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each",,A4206-A8004,Medical And Surgical Supplies,A4233-A4239,Replacement Batteries,,,,,,,,
HCPCS,A4236,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each",,A4206-A8004,Medical And Surgical Supplies,A4233-A4239,Replacement Batteries,,,,,,,,
HCPCS,A4238,"Supply allowance for adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",,A4206-A8004,Medical And Surgical Supplies,A4233-A4239,Replacement Batteries,,,,,,,,
HCPCS,A4239,"Supply allowance for non-adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service",,A4206-A8004,Medical And Surgical Supplies,A4233-A4239,Replacement Batteries,,,,,,,,
HCPCS,A4244,"Alcohol or peroxide, per pint",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4245,"Alcohol wipes, per box",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
